name,url,address,phone,score,number ratings
Residence Inn Arlington,www.marriott.com/hotels/travel/dalar-residence-inn-arlington/,"1050 Brookhollow Plaza Drive,Arlington,Texas,76006,USA,",+1-817-649-7300,4.3 ,200
Courtyard Providence Lincoln,www.marriott.com/hotels/travel/pvdln-courtyard-providence-lincoln/,"636 George Washington Highway,Lincoln,Rhode Island,02865,USA,",+1-401-333-3400,4.6 ,296
Fairfield Inn & Suites Spearfish,www.marriott.com/hotels/travel/rapsp-fairfield-inn-and-suites-spearfish/,"2720 1st Avenue East,Spearfish,South Dakota,57783,USA,",+1-605-642-3500,4.4 ,125
SpringHill Suites Providence West Warwick,www.marriott.com/hotels/travel/pvdsh-springhill-suites-providence-west-warwick/,"14 James P. Murphy Industrial Highway,West Warwick,Rhode Island,02893,USA,",+1-401-822-1244,4.4 ,206
Fairfield Inn & Suites Oklahoma City Airport,www.marriott.com/hotels/travel/okcap-fairfield-inn-and-suites-oklahoma-city-airport/,"4521 SW 15th Street, Meridian and SW 15th St,Oklahoma City,Oklahoma,73128,USA,",+1-405-604-3223,4.2 ,186
TownePlace Suites Burlington Williston,www.marriott.com/hotels/travel/btvts-towneplace-suites-burlington-williston/,"66 Zephyr Road, Taft Corners,Williston,Vermont,05495,USA,",+1-802-872-5900,4.6 ,158
Courtyard Portland Beaverton,www.marriott.com/hotels/travel/pdxcy-courtyard-portland-beaverton/,"8500 SW Nimbus Avenue,Beaverton,Oregon,97008,USA,",+1-503-641-3200,4.1 ,253
Fairfield Inn & Suites Jamestown,www.marriott.com/hotels/travel/jmsfi-fairfield-inn-and-suites-jamestown/,"930 25th Street SW,Jamestown,North Dakota,58401,USA,",+1-701-952-6300,4.7 ,124
Fairfield Inn Minot,www.marriott.com/hotels/travel/motfi-fairfield-inn-minot/,"900 24th Avenue SW,Minot,North Dakota,58701,USA,",+1-701-838-2424,4.1 ,104
Courtyard Philadelphia Valley Forge/Collegeville,www.marriott.com/hotels/travel/phlvg-courtyard-philadelphia-valley-forge-collegeville/,"600 Campus Drive,Collegeville,Pennsylvania,19426,USA,",+1-484-974-2600,4.4 ,245
Courtyard Buffalo Amherst/University,www.marriott.com/hotels/travel/bufcy-courtyard-buffalo-amherst-university/,"4100 Sheridan Drive,Buffalo,New York,14221,USA,",+1-716-626-2300,4.4 ,250
Courtyard Buffalo Downtown/Canalside,www.marriott.com/hotels/travel/bufdt-courtyard-buffalo-downtown-canalside/,"One Canalside, 125 Main Street,Buffalo,New York,14203,USA,",+1-716-840-9566,4.8 ,365
SpringHill Suites Salt Lake City Airport,www.marriott.com/hotels/travel/slcsa-springhill-suites-salt-lake-city-airport/,"4955 Wiley Post Way,Salt Lake City,Utah,84116,USA,",+1-801-532-6633,4.5 ,235
SpringHill Suites Salt Lake City Downtown,www.marriott.com/hotels/travel/slcsh-springhill-suites-salt-lake-city-downtown/,"625 South 300 West,Salt Lake City,Utah,84101,USA,",+1-801-238-3000,4.6 ,160
Courtyard Salt Lake City Sandy,www.marriott.com/hotels/travel/slcsd-courtyard-salt-lake-city-sandy/,"10701 S Holiday Park Drive,Sandy,Utah,84070,USA,",+1-801-571-3600,4.4 ,202
SpringHill Suites Grand Forks,www.marriott.com/hotels/travel/gfksh-springhill-suites-grand-forks/,"2837 South 42nd Street,Grand Forks,North Dakota,58201,USA,",+1-701-757-4150,4.6 ,174
Residence Inn Salt Lake City Downtown,www.marriott.com/hotels/travel/slcri-residence-inn-salt-lake-city-downtown/,"285 West Broadway (300 S),Salt Lake City,Utah,84101,USA,",+1-801-355-3300,4.4 ,236
SpringHill Suites Columbia Downtown/The Vista,www.marriott.com/hotels/travel/caesh-springhill-suites-columbia-downtown-the-vista/,"511 Lady Street,Columbia,South Carolina,29201,USA,",+1-803-978-2333,4.6 ,268
Salt Lake Marriott Downtown at City Creek,www.marriott.com/hotels/travel/slcut-salt-lake-marriott-downtown-at-city-creek/,"75 South West Temple,Salt Lake City,Utah,84101,USA,",+1-801-531-0800,4.3 ,461
SpringHill Suites Raleigh Cary,www.marriott.com/hotels/travel/rdurh-springhill-suites-raleigh-cary/,"1128 Ledsome Lane,Cary,North Carolina,27511,USA,",+1-919-977-7244,4.7 ,267
Fairfield Inn & Suites Raleigh Cary,www.marriott.com/hotels/travel/rduay-fairfield-inn-and-suites-raleigh-cary/,"1120 Ledsome Lane,Cary,North Carolina,27511,USA,",+1-919-301-8467,,
Courtyard Carolina Beach Oceanfront,www.marriott.com/hotels/travel/ilmcb-courtyard-carolina-beach-oceanfront/,"100 Charlotte Avenue,Carolina Beach,North Carolina,28428,USA,",+1-910-458-2030,4.1 ,577
Residence Inn Salt Lake City Cottonwood,www.marriott.com/hotels/travel/slctt-residence-inn-salt-lake-city-cottonwood/,"6425 South 3000 East,Salt Lake City,Utah,84121,USA,",+1-801-453-0430,4.6 ,171
Courtyard Burlington,www.marriott.com/hotels/travel/gsobr-courtyard-burlington/,"3141 Wilson Drive,Burlington,North Carolina,27215,USA,",+1-336-585-1888,4.5 ,227
Residence Inn Columbia Northeast,www.marriott.com/hotels/travel/caeri-residence-inn-columbia-northeast/,"2320 LeGrand Road,Columbia,South Carolina,29223,USA,",+1-803-788-8850,4.6 ,262
Residence Inn Salt Lake City Airport,www.marriott.com/hotels/travel/slcra-residence-inn-salt-lake-city-airport/,"4883 West Douglas Corrigan Way,Salt Lake City,Utah,84116,USA,",+1-801-532-4101,4.6 ,189
Residence Inn Raleigh Cary,www.marriott.com/hotels/travel/rdury-residence-inn-raleigh-cary/,"2900 Regency Parkway,Cary,North Carolina,27518,USA,",+1-919-467-4080,4.5 ,177
Courtyard Raleigh Cary,www.marriott.com/hotels/travel/rduca-courtyard-raleigh-cary/,"102 Edinburgh Drive South,Cary,North Carolina,27511,USA,",+1-919-481-9666,4.5 ,246
Courtyard Cleveland University Circle,www.marriott.com/hotels/travel/clece-courtyard-cleveland-university-circle/,"2021 Cornell Road,Cleveland,Ohio,44106,USA,",+1-216-791-5678,4.6 ,313
Courtyard Boone,www.marriott.com/hotels/travel/hkybn-courtyard-boone/,"1050 Highway 105,Boone,North Carolina,28607,USA,",+1-828-265-7676,4.7 ,347
Fairfield Inn & Suites Boone,www.marriott.com/hotels/travel/hkyfi-fairfield-inn-and-suites-boone/,"2060 Blowing Rock Road,Boone,North Carolina,28607,USA,",+1-828-268-0677,4.6 ,225
"Metropolitan at The 9, Autograph Collection",www.marriott.com/hotels/travel/cleak-metropolitan-at-the-9-autograph-collection/,"2017 East 9th Street,Cleveland,Ohio,44115,USA,",+1-216-239-1200,4.5 ,387
SpringHill Suites Cincinnati North/Forest Park,www.marriott.com/hotels/travel/cvgfp-springhill-suites-cincinnati-north-forest-park/,"12001 Chase Plaza Drive,Cincinnati,Ohio,45240,USA,",+1-513-825-9035,4.1 ,200
TownePlace Suites Cincinnati Northeast/Mason,www.marriott.com/hotels/travel/cvgtn-towneplace-suites-cincinnati-northeast-mason/,"9369 Waterstone Boulevard,Cincinnati,Ohio,45249,USA,",+1-513-774-0610,4.2 ,151
SpringHill Suites Cincinnati Northeast/Mason,www.marriott.com/hotels/travel/cvgsh-springhill-suites-cincinnati-northeast-mason/,"9365 Waterstone Blvd.,Cincinnati,Ohio,45249,USA,",+1-513-683-7797,4.3 ,171
SpringHill Suites Cincinnati Blue Ash,www.marriott.com/hotels/travel/cvgsb-springhill-suites-cincinnati-blue-ash/,"4650 Creek Road,Cincinnati,Ohio,45242,USA,",+1-513-793-1000,,
Residence Inn Cincinnati North/Sharonville,www.marriott.com/hotels/travel/cvgnn-residence-inn-cincinnati-north-sharonville/,"11689 Chester Road,Cincinnati,Ohio,45246,USA,",+1-513-771-2525,4.2 ,236
Residence Inn Cincinnati Downtown/The Phelps,www.marriott.com/hotels/travel/cvgcd-residence-inn-cincinnati-downtown-the-phelps/,"506 East 4th Street,Cincinnati,Ohio,45202,USA,",+1-513-651-1234,4.9 ,322
SpringHill Suites Cincinnati Midtown,www.marriott.com/hotels/travel/cvgdt-springhill-suites-cincinnati-midtown/,"610 Eden Park Drive,Cincinnati,Ohio,45202,USA,",+1-513-381-8300,4.5 ,225
Renaissance Cincinnati Downtown Hotel,www.marriott.com/hotels/travel/cvgbr-renaissance-cincinnati-downtown-hotel/,"36 East Fourth Street,Cincinnati,Ohio,45202,USA,",+1-513-333-0000,4.6 ,396
Courtyard Cincinnati Midtown/Rookwood,www.marriott.com/hotels/travel/cvgnw-courtyard-cincinnati-midtown-rookwood/,"3813 Edwards Road,Cincinnati,Ohio,45209,USA,",+1-513-672-7100,4.5 ,285
Fairfield Inn & Suites Cincinnati North/Sharonville,www.marriott.com/hotels/travel/cvgsn-fairfield-inn-and-suites-cincinnati-north-sharonville/,"11440 Chester Road,Cincinnati,Ohio,45246,USA,",+1-513-842-9112,4.3 ,249
Fairfield Inn & Suites Cincinnati Eastgate,www.marriott.com/hotels/travel/cvgeg-fairfield-inn-and-suites-cincinnati-eastgate/,"4521 Eastgate Boulevard,Cincinnati,Ohio,45245,USA,",+1-513-947-9402,4.4 ,183
Fairfield Inn & Suites Chillicothe,www.marriott.com/hotels/travel/cmhch-fairfield-inn-and-suites-chillicothe/,"300 North Plaza Boulevard,Chillicothe,Ohio,45601,USA,",+1-740-771-9090,5.0 ,17
Residence Inn Canton,www.marriott.com/hotels/travel/cakct-residence-inn-canton/,"5280 Broadmoor Circle NW,Canton,Ohio,44709,USA,",+1-330-493-0004,4.6 ,166
Fairfield Inn & Suites Cincinnati Uptown/University Area,www.marriott.com/hotels/travel/cvgmt-fairfield-inn-and-suites-cincinnati-uptown-university-area/,"2500 South Market Street,Cincinnati,Ohio,45219,USA,",+1-513-281-2200,4.1 ,56
Kingsgate Marriott Conference Center at the University of Cincinnati,www.marriott.com/hotels/travel/cvgkg-kingsgate-marriott-conference-center-at-the-university-of-cincinnati/,"151 Goodman Drive,Cincinnati,Ohio,45219,USA,",+1-513-487-3800,4.5 ,326
TownePlace Suites Columbia Northwest/Harbison,www.marriott.com/hotels/travel/caetn-towneplace-suites-columbia-northwest-harbison/,"438 Columbiana Drive,Columbia,South Carolina,29212,USA,",+1-803-749-7552,4.7 ,61
AC Hotel Cincinnati at The Banks,www.marriott.com/hotels/travel/cvgbc-ac-hotel-cincinnati-at-the-banks/,"135 Joe Nuxhall Way,Cincinnati,Ohio,45202,USA,",+1-513-744-9900,,
Fairfield Inn Hartsville,www.marriott.com/hotels/travel/floht-fairfield-inn-hartsville/,"200 South 4th Street,Hartsville,South Carolina,29550,USA,",+1-843-332-9898,4.6 ,172
Fairfield Inn & Suites Canton South,www.marriott.com/hotels/travel/cakfc-fairfield-inn-and-suites-canton-south/,"4025 Greentree Avenue,Canton,Ohio,44706,USA,",+1-330-484-0300,4.8 ,286
Marriott's SurfWatch,www.marriott.com/hotels/travel/hhhsf-marriotts-surfwatch/,"10 SurfWatch Way,Hilton Head,South Carolina,29928,USA,",+1-843-363-3400,,
Marriott's Barony Beach Club,www.marriott.com/hotels/travel/hhhbb-marriotts-barony-beach-club/,"5 Grasslawn Avenue,Hilton Head,South Carolina,29928,USA,",+1-843-342-1608,,
Fairfield Inn & Suites Greenwood,www.marriott.com/hotels/travel/grdfi-fairfield-inn-and-suites-greenwood/,"527 Bypass 72 NW,Greenwood,South Carolina,29649,USA,",+1-864-330-3300,4.4 ,194
TownePlace Suites Greenville Haywood Mall,www.marriott.com/hotels/travel/gspts-towneplace-suites-greenville-haywood-mall/,"75 Mall Connector Rd.,Greenville,South Carolina,29607,USA,",+1-864-675-1670,4.1 ,196
Greenville Marriott,www.marriott.com/hotels/travel/gspap-greenville-marriott/,"One Parkway East,Greenville,South Carolina,29615,USA,",+1-864-297-0300,4.4 ,266
Residence Inn Greenville-Spartanburg Airport,www.marriott.com/hotels/travel/gspri-residence-inn-greenville-spartanburg-airport/,"120 Milestone Way,Greenville,South Carolina,29615,USA,",+1-864-627-0001,4.3 ,158
Marriott's Harbour Point and Sunset Pointe at Shelter Cove,www.marriott.com/hotels/travel/hhhpt-marriotts-harbour-point-and-sunset-pointe-at-shelter-cove/,"4 Shelter Cove Lane,Hilton Head,South Carolina,29928,USA,",+1-843-686-7070,,
Fairfield Inn Greenville-Spartanburg Airport,www.marriott.com/hotels/travel/gsppr-fairfield-inn-greenville-spartanburg-airport/,"48 Fisherman Lane,Greenville,South Carolina,29615,USA,",+1-864-234-9916,4.4 ,183
Courtyard Greenville Haywood Mall,www.marriott.com/hotels/travel/gspch-courtyard-greenville-haywood-mall/,"70 Orchard Park Drive,Greenville,South Carolina,29615,USA,",+1-864-234-0300,4.5 ,262
Courtyard Greenville Downtown,www.marriott.com/hotels/travel/gspgd-courtyard-greenville-downtown/,"50 West Broad St,Greenville,South Carolina,29601,USA,",+1-864-451-5700,4.7 ,315
SpringHill Suites Florence,www.marriott.com/hotels/travel/flosh-springhill-suites-florence/,"2670 Hospitality Boulevard,Florence,South Carolina,29501,USA,",+1-843-317-9050,4.7 ,261
"Courtyard Charlotte Fort Mill, SC",www.marriott.com/hotels/travel/cltft-courtyard-charlotte-fort-mill-sc/,"1385 Broadcloth Street,Fort Mill,South Carolina,29715,USA,",+1-803-548-0156,4.5 ,13
Courtyard Greenville-Spartanburg Airport,www.marriott.com/hotels/travel/gspph-courtyard-greenville-spartanburg-airport/,"115 The Parkway,Greenville,South Carolina,29615,USA,",+1-864-213-9009,4.3 ,245
Fairfield Inn & Suites Florence I-20,www.marriott.com/hotels/travel/flofs-fairfield-inn-and-suites-florence-i-20/,"501 Woody Jones Boulevard,Florence,South Carolina,29501,USA,",+1-843-665-4488,4.6 ,24
Residence Inn Florence,www.marriott.com/hotels/travel/flori-residence-inn-florence/,"2660 Hospitality Boulevard,Florence,South Carolina,29501,USA,",+1-843-468-2800,4.6 ,213
Courtyard Florence,www.marriott.com/hotels/travel/flocy-courtyard-florence/,"2680 Hospitality Blvd.,Florence,South Carolina,29501,USA,",+1-843-662-7066,4.4 ,287
TownePlace Suites Florence,www.marriott.com/hotels/travel/flots-towneplace-suites-florence/,"2650 Hospitality Boulevard,Florence,South Carolina,29501,USA,",+1-843-407-9400,4.7 ,191
SpringHill Suites Asheville,www.marriott.com/hotels/travel/avlsh-springhill-suites-asheville/,"Two Buckstone Place,Asheville,North Carolina,28805,USA,",+1-828-253-4666,3.9 ,167
Residence Inn Asheville Biltmore,www.marriott.com/hotels/travel/avlri-residence-inn-asheville-biltmore/,"701 Biltmore Avenue,Asheville,North Carolina,28803,USA,",+1-828-281-3361,4.4 ,227
Renaissance Asheville Hotel,www.marriott.com/hotels/travel/avlbr-renaissance-asheville-hotel/,"31 Woodfin Street,Asheville,North Carolina,28801,USA,",+1-828-252-8211,4.2 ,402
Fairfield Inn & Suites Canton,www.marriott.com/hotels/travel/cakcn-fairfield-inn-and-suites-canton/,"5285 Broadmoor Circle NW,Canton,Ohio,44709,USA,",+1-330-493-7373,4.6 ,194
Fairfield Inn & Suites Asheville Tunnel Road,www.marriott.com/hotels/travel/avlfa-fairfield-inn-and-suites-asheville-tunnel-road/,"184 Tunnel Road,Asheville,North Carolina,28805,USA,",,,
Courtyard Asheville,www.marriott.com/hotels/travel/avlcy-courtyard-asheville/,"One Buckstone Place,Asheville,North Carolina,28805,USA,",+1-828-281-0041,4.1 ,248
"Grand Bohemian Hotel Asheville, Autograph Collection",www.marriott.com/hotels/travel/avlak-grand-bohemian-hotel-asheville-autograph-collection/,"11 Boston Way,Asheville,North Carolina,28803,USA,",+1-828-505-2949,4.6 ,501
AC Hotel Asheville Downtown,www.marriott.com/hotels/travel/avlac-ac-hotel-asheville-downtown/,"10 Broadway Street,Asheville,North Carolina,28801,USA,",+1-828-258-2522,,
Fairfield Inn & Suites Asheville South/Biltmore Square,www.marriott.com/hotels/travel/avlbs-fairfield-inn-and-suites-asheville-south-biltmore-square/,"11 Rocky Ridge Road,Asheville,North Carolina,28806,USA,",+1-828-665-4242,4.3 ,206
TownePlace Suites Southern Pines Aberdeen,www.marriott.com/hotels/travel/faysp-towneplace-suites-southern-pines-aberdeen/,"205 Columbus Drive,Aberdeen,North Carolina,28315,USA,",+1-910-246-5080,4.9 ,56
TownePlace Suites Columbia Southeast/Fort Jackson,www.marriott.com/hotels/travel/caese-towneplace-suites-columbia-southeast-fort-jackson/,"250 East Exchange Blvd.,Columbia,South Carolina,29209,USA,",+1-803-695-0062,4.4 ,232
Fairfield Inn & Suites High Point Archdale,www.marriott.com/hotels/travel/gsoha-fairfield-inn-and-suites-high-point-archdale/,"10141 N. Main St.,Archdale,North Carolina,27263,USA,",+1-336-434-0055,4.6 ,174
Columbia Marriott,www.marriott.com/hotels/travel/caemh-columbia-marriott/,"1200 Hampton Street,Columbia,South Carolina,29201,USA,",+1-803-771-7000,4.3 ,379
Fairfield Inn Columbia Northwest/Harbison,www.marriott.com/hotels/travel/caefn-fairfield-inn-columbia-northwest-harbison/,"320 Columbiana Drive,Columbia,South Carolina,29212,USA,",+1-803-732-4436,4.0 ,181
Fairfield Inn & Suites Asheboro,www.marriott.com/hotels/travel/gsoab-fairfield-inn-and-suites-asheboro/,"920 Executive Way,Asheboro,North Carolina,27203,USA,",+1-336-626-9197,4.6 ,262
